,Geld - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,Geld - 2. Wie glaubwürdig fanden Sie den Text ?,Geld - 3. Wie klar und verständlich war der Text?,Geld - 4. Wie interessant fanden Sie den Text?,Geld - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,Geld - 6. Wie sachlich fanden sie den Text?,"Geld - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",Geld - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,"Geld - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?",Gesundheit - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,Gesundheit - 2. Wie glaubwürdig fanden Sie den Text ?,Gesundheit - 3. Wie klar und verständlich war der Text?,Gesundheit - 4. Wie interessant fanden Sie den Text?,Gesundheit - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,Gesundheit - 6. Wie sachlich fanden sie den Text?,"Gesundheit - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",Gesundheit - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,"Gesundheit - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?",Sport - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,Sport - 2. Wie glaubwürdig fanden Sie den Text ?,Sport - 3. Wie klar und verständlich war der Text?,Sport - 4. Wie interessant fanden Sie den Text?,Sport - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,Sport - 6. Wie sachlich fanden sie den Text?,"Sport - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",Sport - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,"Sport - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?",Wissen - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,Wissen - 2. Wie glaubwürdig fanden Sie den Text ?,Wissen - 3. Wie klar und verständlich war der Text?,Wissen - 4. Wie interessant fanden Sie den Text?,Wissen - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,Wissen - 6. Wie sachlich fanden sie den Text?,"Wissen - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",Wissen - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,"Wissen - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?"
Geld - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,1.0,0.35016299546468904,0.6318786463732216,0.5844064665569498,0.24373476705307387,0.17697543250981473,0.054745699189696455,0.3551558465635528,0.21120755274298722,0.002735837320480875,-0.0981978430877278,0.10665181673732044,-0.11120360911950349,-0.057190427547173434,0.04906917747409732,0.12917625286112436,0.3226667624401549,0.0796455932605446,0.32942381985561514,0.19373702506530308,0.3050616328322314,0.2933069730488003,0.16065967160989095,-0.12582349371925486,-0.1360370415955391,-0.03916606292779197,0.054407099961868606,0.42187536412147,0.5259330385359167,0.3527083304368132,0.49034446504321877,0.3745278706626205,0.47229062396504123,0.5367964811457779,0.44224651345596533,-0.07942273460868252
Geld - 2. Wie glaubwürdig fanden Sie den Text ?,0.35016299546468904,1.0,0.4472558321801191,0.6510936102647638,0.2616836518932871,0.28789104495855666,0.7645150210392269,0.7799520620427339,-0.022353229939783656,-0.09012192732440727,0.03870653755703961,0.08922527439016778,0.06512332361774822,-0.05349415868600771,0.30598528214954385,-0.0875561414858091,0.24816065117025318,0.19733256599080368,0.09507605826728205,0.49286281907743895,0.45484744263862587,-0.012169736021072084,0.40642549180629406,0.3501699705479717,0.20344898082910995,0.2735999585737774,0.11121647109709487,0.2964095167538602,0.43521479734864643,0.5827093863371324,0.24386399033034775,0.8034554255692418,0.02235322993978367,0.46332916273798086,0.4999013105271637,-0.2769562214923658
Geld - 3. Wie klar und verständlich war der Text?,0.6318786463732216,0.4472558321801191,1.0,0.7387881122294573,0.242626236541383,0.5765302942814041,0.17030221931687894,0.38471210670533695,0.1389244780082145,-0.0981911359809297,0.14891788840090467,0.28342731495206874,-0.022485499520719546,0.25055270894516085,-0.15250243150230156,-0.15478274996423547,0.42325750482495755,-0.03303473208389917,0.0990792133161138,0.36555798027557046,0.019867487430199286,0.07563444874765919,0.19778631218970052,-0.1890933984488636,-0.1330976542451719,0.06901212015641073,-0.003113541253765896,0.4168735647577956,0.27741984540357323,0.6052218648686959,0.6234606769762591,0.5048664830791288,0.3859013278005963,0.4252534275564392,0.5961517403431085,-0.28906865300617285
Geld - 4. Wie interessant fanden Sie den Text?,0.5844064665569498,0.6510936102647638,0.7387881122294573,1.0,0.19790662122997243,0.34862839957654373,0.3577856612369004,0.5388243560400382,0.06633285977441535,0.07659878350985919,0.009115955874679754,0.08531626141905042,0.17177994928466145,-0.08895747373669981,-0.057901865857874546,-0.1916905131376308,0.3529261028670185,0.15181737385899666,-0.15617264569092965,0.4500192913639084,0.032524160547129005,-0.28546862737455053,0.3007239416917415,-0.06238026593618452,0.15252168364155172,0.22579886996531934,0.006937633494316551,0.3643214115383318,0.1766144403792019,0.44830617953254476,0.4896693060151127,0.5398756181094857,0.24272913132267532,0.45508436764842675,0.3466855706215398,-0.3276299639096497
Geld - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,0.24373476705307387,0.2616836518932871,0.242626236541383,0.19790662122997243,1.0,0.12939849425475894,0.31552606795112775,0.547666823843612,-0.12441383029868756,-0.24320073821958982,0.004796287192241276,-0.3366635086541145,-0.12911520696934453,-0.02622652641564818,0.11078037491777282,-0.01822706541441237,0.06224220440894771,-0.422728304944103,-0.09746321457843488,0.17051628888976947,0.29590064835343594,-0.0015080023348721025,0.06384456776743329,0.19721316710467446,0.18761699823370215,-0.021316196315773493,0.2828889743027474,0.6447824165693163,0.7840485589918156,0.08218561212025632,0.28995886826601747,0.22790157122303978,0.6243312211352324,0.4239358997689996,0.7264232459158096,0.0458457133474647
Geld - 6. Wie sachlich fanden sie den Text?,0.17697543250981473,0.28789104495855666,0.5765302942814041,0.34862839957654373,0.12939849425475894,1.0,0.3671295885435206,0.23037345348787047,-0.1640707641622001,-0.10186280387508084,-0.0754558266838174,-0.0664129780687985,0.16734792501052412,0.11829767112812911,-0.1716405325483831,-0.0825494186757776,0.0296728066880543,0.09272752090016971,0.11151303471378393,-0.2247100328402913,-0.0033991590161267763,-0.12293393582301007,-0.26202031662554204,-0.12764445295991259,-0.4224184223563401,-0.2865711598226757,-0.2666166339318319,0.32920672553479535,0.20765582476405883,0.5054278471243924,0.4656847852093586,0.3094100707291418,0.20335531332779747,0.5456794779016794,0.281471163566651,-0.3199731030959019
"Geld - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",0.054745699189696455,0.7645150210392269,0.17030221931687894,0.3577856612369004,0.31552606795112775,0.3671295885435206,1.0,0.7597825855266604,-0.4382254535362756,-0.23703673671275868,-0.21411388979064294,-0.20860300411675353,0.21750597074298283,-0.3024692405644609,0.1438523976312195,-0.23028826250297119,-0.030581976574275055,0.41504111065087246,-0.1364001732900754,0.1313141714969675,0.21620419318308112,-0.17020432992886553,0.28992228047378976,0.4098225323635062,0.3223159680118398,0.1579996683316231,0.08345140852689428,0.18594534563137874,0.3913478671887112,0.2145958306199249,-0.08007562710484499,0.5619703337515612,-0.16331383361600335,0.3542221045987149,0.2884107511979537,-0.02471396916315174
Geld - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,0.3551558465635528,0.7799520620427339,0.38471210670533695,0.5388243560400382,0.547666823843612,0.23037345348787047,0.7597825855266604,1.0,-0.09838009821450865,-0.2820557135798355,0.04867245426101323,-0.15707781437166562,0.04094543441710597,-0.16378173766842397,0.281048262702319,-0.06165574690985841,0.421086940206552,0.10527173505163795,0.12172938489393205,0.14831912279095397,0.16883118592330099,-0.09181874028096994,0.14084589219169316,0.14608089002675953,0.22620912572633511,2.4336063828394424e-16,0.1852091286826575,0.5737266562397849,0.4853626716970754,0.37530674851754936,0.24118740846185865,0.7709108008454439,0.13117346428601145,0.30974960218459013,0.5195913645396916,-3.305727146342665e-17
"Geld - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?",0.21120755274298722,-0.022353229939783656,0.1389244780082145,0.06633285977441535,-0.12441383029868756,-0.1640707641622001,-0.4382254535362756,-0.09838009821450865,1.0,-0.08664657856918906,0.24655569766661006,0.3387612517689995,-0.21357442517239575,0.06571520774535261,-0.016445160572405665,0.21955449634791147,0.4171087455568178,-0.16631551246885767,0.3998960838627617,0.060750855983313985,0.25040062019440795,-0.0905675273039984,-0.2726728600916435,-0.26229309428186737,-0.24014470513637048,-0.1981789415198442,0.36360122277772217,0.24253220971024828,0.029559540716466215,0.2781672063361371,0.40765704833582356,0.16978842972935007,0.1855263157894737,-0.0983905814686504,0.15635925721711275,-0.10266913440600757
Gesundheit - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,0.002735837320480875,-0.09012192732440727,-0.0981911359809297,0.07659878350985919,-0.24320073821958982,-0.10186280387508084,-0.23703673671275868,-0.2820557135798355,-0.08664657856918906,1.0,0.1574721790919428,0.1058751903055316,0.4150808273151636,0.4150808273151637,-0.09850620838589699,0.0232723877628996,-0.27247230109207243,0.0652798221366422,-0.21496911724035592,0.22793517432431087,-0.27831572547309263,0.11882611906918505,0.18531191871261693,0.047262206982297904,-0.026428442174943743,0.3048259431857518,-0.3894900224515864,-0.3182063382652403,-0.12712079223121012,-0.015740236211706768,0.14566056660274002,-0.1680848551221143,0.1768297521820185,0.3526072113330953,-0.1435903108083122,0.1746044794326096
Gesundheit - 2. Wie glaubwürdig fanden Sie den Text ?,-0.0981978430877278,0.03870653755703961,0.14891788840090467,0.009115955874679754,0.004796287192241276,-0.0754558266838174,-0.21411388979064294,0.04867245426101323,0.24655569766661006,0.1574721790919428,1.0,0.672342193497651,-0.23469502337032494,0.7498048798584414,0.4532947396561125,0.25702138677391123,0.3879043519906603,-0.47802354487737936,0.2061505513985703,0.07728636123846391,-0.1436323580112917,0.15037016739717596,-0.16355975668210593,-0.32840368482956184,-0.38729833462074176,-0.21040703751713494,0.11817436334004071,0.04677580193732404,-0.04387275738518954,0.24833705324330424,-0.008977022375705674,0.39172710145971384,0.29293746257419034,-0.15628084656659183,0.3867849764996256,-0.1911716772157726
Gesundheit - 3. Wie klar und verständlich war der Text?,0.10665181673732044,0.08922527439016778,0.28342731495206874,0.08531626141905042,-0.3366635086541145,-0.0664129780687985,-0.20860300411675353,-0.15707781437166562,0.3387612517689995,0.1058751903055316,0.672342193497651,1.0,-0.12295742868762613,0.6295420348806456,0.3207109520306996,0.340675322405634,0.23393370004202074,-0.1959985054406124,0.2887831226248913,0.2286366792270908,0.08401598233901998,0.25734598446944834,0.1488799238561822,-0.007018796942337083,-0.37587742578195504,0.0450380051929219,0.13348206591422893,-0.35442044764512226,-0.14158802848871346,0.19535195055208449,-0.1332667306067215,0.32611486395638134,0.1165968959577021,-0.09921761202783184,0.23794745145320162,-0.22353527790239516
